Store_Number,SKU_Coded,Product_Class_Code,min(Sold_Date),max(Sold_Date)
49,3740,6179150,22975,2021-12-12,2024-03-27
50,2420,6179650,24375,2021-11-12,2023-04-26
51,660,6179650,24375,2021-11-28,2023-04-27
52,550,6179650,24375,2021-12-19,2023-04-17
53,1870,6179700,24375,2021-11-05,2024-03-29
54,1980,6179700,24375,2021-12-27,2024-02-23
55,1540,6179750,22800,2021-11-02,2022-07-18
56,2970,6179750,22800,2021-11-02,2022-05-19
57,1210,6179750,22800,2021-11-03,2022-06-17
58,880,6179750,22800,2021-11-05,2022-06-22
59,770,6179750,22800,2021-12-08,2022-07-18
60,3190,6179750,22800,2022-05-31,2022-06-20
61,660,6179800,22850,2021-11-01,2024-03-21
62,1210,6179800,22850,2021-11-02,2024-03-02
63,1100,6179800,22850,2021-11-02,2024-03-15
64,4840,6179800,22850,2021-11-09,2024-02-08
65,2750,6179800,22850,2021-11-11,2024-03-29
66,1650,6179800,22850,2021-11-11,2024-03-25
67,3080,6179800,22850,2021-11-12,2024-03-15
68,880,6179900,24375,2021-11-29,2023-07-07
69,4180,6179900,24375,2021-12-26,2023-07-22
70,770,6179900,24375,2022-03-15,2024-01-31
71,3520,6179900,24375,2022-11-11,2023-05-13
72,2860,6179900,24375,2023-04-21,2023-06-01
73,2200,6179950,22825,2021-11-01,2024-03-15
74,2750,6179950,22825,2021-11-14,2024-03-30
75,1650,6179950,22825,2021-11-20,2024-03-26
76,2310,6179950,22825,2022-01-23,2024-03-06
77,880,6179950,22825,2022-01-29,2024-03-22
78,1210,6180050,24425,2021-12-13,2022-07-13
79,2970,6180050,24425,2022-02-03,2022-03-08
80,4400,6180100,24425,2021-12-07,2022-07-05
81,2090,6180100,24425,2021-12-29,2022-08-12
82,4730,6180100,24425,2022-02-25,2022-03-24
83,990,6180150,24425,2021-11-04,2024-02-07
84,3740,6180150,24425,2021-11-05,2024-03-01
85,2750,6180150,24425,2021-11-18,2023-12-31
86,2090,6180150,24425,2021-11-25,2023-12-05
87,1650,6180150,24425,2021-11-26,2024-01-26
88,1320,6180150,24425,2021-11-29,2024-03-28
89,3190,6180150,24425,2021-12-02,2024-02-16
90,2090,6180200,22800,2021-11-05,2024-03-18
91,4840,6180200,22800,2022-02-25,2024-03-28
92,3080,6180250,22800,2021-11-05,2024-03-10
93,2750,6180250,22800,2021-11-11,2024-01-05
94,2640,6180250,22800,2022-01-07,2024-03-14
95,2750,6180300,22800,2021-11-03,2024-03-13
96,660,6180300,22800,2021-12-15,2024-03-29
97,4180,6180300,22800,2022-02-02,2024-02-13
98,3080,6180300,22800,2022-02-02,2024-01-29
99,1760,6180300,22800,2022-02-20,2024-02-13
100,990,6180350,22925,2021-12-06,2024-02-05
101,660,6180350,22925,2021-12-07,2024-02-23
102,880,6180350,22925,2022-02-04,2024-02-29
103,3520,6180350,22925,2022-12-23,2024-03-31
104,1870,6180400,22925,2021-11-02,2024-02-26
105,2970,6180400,22925,2021-11-10,2024-02-25
106,1210,6180400,22925,2021-12-04,2024-03-28
107,4180,6180400,22925,2021-12-12,2024-03-07
108,3520,6180400,22925,2022-11-08,2024-02-16
109,1320,6180550,22975,2021-11-01,2024-03-29
110,990,6180550,22975,2021-11-05,2024-03-28
111,1100,6180550,22975,2021-11-05,2024-03-22
112,3520,6180650,22875,2023-01-13,2024-03-04
113,2860,6180650,22875,2023-05-27,2024-03-10
114,550,6180700,22875,2021-11-26,2024-02-07
115,880,6180700,22875,2022-01-27,2024-01-26
116,4180,6180700,22875,2022-05-10,2024-03-05
117,3520,6180700,22875,2023-10-05,2023-12-10
118,1210,6180750,22875,2021-11-10,2024-01-21
119,3080,6180750,22875,2021-12-23,2022-09-15
120,1870,6180750,22875,2022-04-11,2023-11-28
121,770,6180750,22875,2022-11-25,2023-12-26
122,2860,6180750,22875,2023-09-28,2023-12-03
123,4400,6180800,22875,2021-12-28,2021-12-28
124,2640,6180850,22875,2021-11-22,2024-01-03
125,3630,6180850,22875,2021-12-29,2024-01-31
126,2970,6180850,22875,2022-03-13,2023-10-01
127,3740,6180900,22975,2021-11-05,2022-12-03
128,2530,6180900,22975,2021-11-06,2022-12-11
129,3410,6180900,22975,2021-12-04,2023-04-06
130,2640,6180900,22975,2021-12-30,2023-04-28
131,550,6181150,22850,2021-11-05,2022-12-16
132,3080,6181150,22850,2021-11-25,2022-04-28
133,1760,6181150,22850,2021-12-03,2022-03-28
134,2310,6181200,24425,2021-11-05,2022-07-15
135,1100,6181200,24425,2021-11-15,2022-09-29
136,1760,6181200,24425,2021-12-17,2022-11-15
137,3630,6181200,24425,2021-12-21,2022-10-03
138,1980,6181200,24425,2022-01-14,2022-10-14
139,990,6181250,24425,2021-11-18,2022-11-24
140,2750,6181250,24425,2021-12-05,2022-01-07
141,4840,6181300,24425,2021-11-06,2021-12-08
142,2640,6181300,24425,2022-02-15,2022-08-17
143,1760,6181350,24425,2021-12-17,2022-04-09
144,2530,6181350,24425,2022-01-07,2022-01-07
145,880,6181400,22800,2021-11-01,2024-03-29
146,2420,6181400,22800,2021-11-01,2024-03-22
147,1320,6181400,22800,2021-11-02,2024-03-21
148,990,6181400,22800,2021-11-03,2024-03-28
149,2640,6181400,22800,2021-11-04,2024-03-29
150,2970,6181450,22800,2021-11-07,2022-05-04
151,4840,6181450,22800,2021-11-08,2022-07-02
152,4070,6181450,22800,2021-11-08,2022-07-31
153,880,6181450,22800,2021-11-14,2022-07-01
154,770,6181450,22800,2021-12-06,2022-07-18
155,3300,6181500,22800,2021-11-02,2023-12-16
156,770,6181500,22800,2021-11-08,2022-10-03
157,3630,6181500,22800,2021-11-25,2022-12-23
158,3410,6181500,22800,2021-11-25,2022-08-03
159,550,6181550,22850,2021-11-01,2024-02-05
160,2090,6181550,22850,2021-11-02,2024-01-13
161,4180,6181550,22850,2021-12-03,2024-03-16
162,2200,6181550,22850,2021-12-04,2024-03-30
163,1540,6181650,22850,2021-11-12,2022-09-28
164,4180,6181650,22850,2021-11-21,2022-12-18
165,2090,6181650,22850,2021-11-26,2022-12-16
166,1320,6181650,22850,2021-12-07,2022-12-15
167,3080,6181650,22850,2021-12-23,2023-02-07
168,3520,6181650,22850,2022-11-09,2022-11-09
169,3630,6181700,22825,2021-12-02,2023-12-17
170,550,6181700,22825,2021-12-04,2024-03-29
171,2530,6181700,22825,2021-12-07,2024-02-05
172,3410,6181700,22825,2021-12-17,2023-02-16
173,1870,6181700,22825,2021-12-24,2024-02-12
174,2970,6181700,22825,2022-01-17,2024-03-31
175,4730,6181700,22825,2022-01-21,2023-04-05
176,2640,6181750,22975,2021-11-01,2023-05-12
177,4730,6181750,22975,2021-11-02,2024-03-10
178,2200,6181750,22975,2021-11-23,2023-06-25
179,3520,6181800,22975,2022-11-04,2023-05-18
180,1650,6181850,22850,2021-11-11,2024-03-08
181,2860,6181850,22850,2023-05-05,2024-02-23
182,3080,6181900,22850,2021-11-04,2021-11-05
183,330,6181950,22850,2021-11-01,2022-04-17
184,2420,6181950,22850,2021-11-02,2023-01-26
185,3300,6181950,22850,2021-11-04,2022-08-09
186,3740,6181950,22850,2021-11-09,2022-10-14
187,1980,6181950,22850,2021-12-01,2023-03-25
188,3630,6182000,22850,2021-11-01,2021-12-31
189,2310,6182000,22850,2021-11-02,2021-11-19
190,4180,6182000,22850,2021-11-14,2022-04-18
191,990,6182050,22975,2021-11-01,2024-03-25
192,1210,6182050,22975,2021-11-01,2024-03-31
193,550,6182050,22975,2021-11-02,2024-03-08
194,2310,6178100,22800,2021-11-07,2024-03-17
195,2640,6178100,22800,2021-11-15,2024-03-28
196,2640,6178150,22825,2022-02-14,2024-03-29
197,3520,6178150,22825,2022-10-30,2024-03-08
198,2310,6178200,22825,2021-11-03,2024-03-29
199,4840,6178200,22825,2021-11-04,2024-03-10
200,880,6178250,22800,2021-11-05,2024-03-29
201,770,6178300,22875,2021-11-02,2024-03-30
202,1870,6178300,22875,2021-11-04,2024-03-25
203,1540,6178300,22875,2021-11-04,2024-03-16
204,4070,6178300,22875,2021-11-13,2024-03-17
205,3410,6178300,22875,2021-11-15,2024-03-08
206,3630,6178300,22875,2021-11-16,2024-03-29
207,2750,6178350,22875,2021-11-02,2024-03-19
208,1540,6178350,22875,2021-11-07,2024-02-28
209,4180,6178350,22875,2021-11-18,2024-02-12
210,1650,6178400,22875,2021-11-01,2024-03-25
211,1760,6178400,22875,2021-11-02,2024-03-01
212,880,6178400,22875,2021-11-03,2024-02-17
213,3630,6178400,22875,2021-11-03,2024-02-15
214,330,6178400,22875,2021-11-12,2024-03-26
215,1210,6178400,22875,2021-11-19,2024-03-29
216,3410,6178450,22875,2021-11-01,2024-02-18
217,3740,6178450,22875,2021-11-03,2024-03-08
218,1980,6178450,22875,2021-12-09,2024-03-11
219,3520,6178450,22875,2022-11-12,2024-03-29
220,2860,6179150,22975,2023-04-20,2024-03-29
221,990,6179200,22975,2021-11-08,2024-03-25
222,4180,6179250,24400,2021-11-02,2024-03-18
223,4400,6179250,24400,2021-11-03,2024-03-25
224,2090,6179250,24400,2021-11-04,2024-02-05
225,4730,6179250,24400,2021-11-05,2024-03-31
226,1540,6179300,22800,2021-11-02,2024-03-26
227,3410,6179300,22800,2021-11-05,2024-03-30
228,4730,6179300,22800,2021-11-06,2024-03-25
229,4180,6179300,22800,2021-11-06,2024-03-26
230,1100,6179300,22800,2021-12-03,2024-03-24
231,550,6179350,22800,2021-11-01,2024-03-29
232,2090,6179350,22800,2021-11-02,2024-03-22
233,1210,6179350,22800,2021-11-05,2024-03-14
234,3410,6179350,22800,2021-11-05,2024-03-21
235,4840,6179350,22800,2021-11-25,2024-03-15
236,1100,6179350,22800,2021-11-30,2024-03-25
237,4400,6179350,22800,2023-12-07,2023-12-07
238,1650,6179400,24400,2021-11-03,2024-03-05
239,2530,6179400,24400,2021-11-05,2024-03-25
240,4070,6179400,24400,2021-11-05,2024-03-22
241,3080,6179400,24400,2021-11-08,2024-03-09
242,4400,6179400,24400,2021-11-10,2023-12-11
243,4840,6179400,24400,2021-11-11,2024-03-30
244,880,6179400,24400,2021-11-14,2024-03-18
245,2640,6179450,24400,2021-11-06,2024-03-28
246,2090,6179450,24400,2021-11-09,2024-03-21
247,2750,6179500,24400,2021-11-01,2024-03-28
248,660,6179500,24400,2021-11-01,2024-03-17
249,2640,6179500,24400,2021-11-03,2024-03-30
250,1870,6179500,24400,2021-11-03,2024-03-28
251,3080,6179500,24400,2021-11-10,2024-03-24
252,3740,6179500,24400,2021-11-12,2024-02-06
253,1100,6179500,24400,2021-12-21,2024-03-27
254,3190,6179600,22975,2021-11-02,2024-03-16
255,4840,6179600,22975,2021-11-05,2024-03-14
256,2750,6179600,22975,2021-11-09,2024-03-21
257,3300,6179900,24375,2021-11-12,2023-06-30
258,330,6179900,24375,2021-11-13,2023-02-06
259,990,6180600,22975,2021-11-16,2024-03-09
260,2530,6180600,22975,2022-01-30,2024-03-16
261,3520,6180600,22975,2022-11-10,2024-03-28
262,1540,6180650,22875,2021-11-01,2024-03-15
263,3300,6180650,22875,2021-11-13,2024-02-28
264,1870,6180650,22875,2021-11-13,2024-03-31
265,1650,6180650,22875,2021-12-15,2024-03-30
266,1320,6180650,22875,2022-02-24,2023-12-30
267,3740,6180950,22975,2021-11-03,2023-08-11
268,2420,6180950,22975,2021-11-14,2023-05-28
269,3630,6180950,22975,2021-11-21,2023-03-04
270,660,6180950,22975,2021-12-11,2023-03-19
271,990,6180950,22975,2021-12-14,2024-02-21
272,330,6180950,22975,2021-12-23,2023-01-11
273,1650,6180950,22975,2021-12-24,2023-03-28
274,2640,6181600,22850,2021-11-25,2024-01-09
275,3740,6181600,22850,2021-12-13,2023-12-16
276,2860,6181600,22850,2023-08-07,2024-03-03
277,1100,6181800,22975,2021-11-04,2023-07-11
278,3740,6182100,22975,2021-11-01,2024-03-28
279,2970,6182100,22975,2021-11-05,2024-03-31
280,3300,6182100,22975,2021-11-20,2024-03-31
281,4400,6182100,22975,2022-04-20,2023-10-11
282,1100,6190050,24425,2021-11-05,2022-01-11
283,3410,6190050,24425,2021-11-05,2022-01-08
284,3080,6190050,24425,2021-11-04,2022-02-01
285,2750,6190050,24425,2021-11-04,2022-03-10
286,1540,6190050,24425,2021-11-02,2022-02-24
287,3630,6190050,24425,2021-11-27,2022-01-27
288,2640,6190100,24425,2021-11-06,2022-01-16
289,2420,6190100,24425,2021-11-13,2022-02-09
290,1760,6190100,24425,2021-11-14,2022-01-14
291,1980,6190100,24425,2021-11-16,2022-01-27
292,2200,6190100,24425,2021-11-25,2022-02-20
293,1210,6190150,24425,2021-11-09,2021-12-22
294,3740,6190150,24425,2021-11-15,2022-01-15
295,2200,6190200,24425,2021-11-07,2021-12-24
296,1100,6190200,24425,2021-11-07,2021-12-24
297,2970,6190200,24425,2021-11-16,2022-01-28
298,550,6190200,24425,2021-11-21,2021-12-29
299,1100,6190250,24425,2021-11-02,2022-01-13
300,3740,6190250,24425,2021-11-05,2022-01-15
301,550,6190250,24425,2021-11-06,2021-12-13
302,660,6190250,24425,2021-11-10,2021-12-10
303,330,6190250,24425,2021-11-18,2021-12-21
304,2420,6190300,22950,2022-03-25,2022-08-01
305,3300,6190350,22950,2021-11-05,2024-03-14
306,2750,6190350,22950,2021-11-08,2024-01-21
307,1870,6190350,22950,2021-12-16,2024-03-17
308,3410,6190400,22950,2021-11-03,2022-06-24
309,4840,6190400,22950,2021-12-09,2022-06-23
310,4180,6190400,22950,2022-06-17,2022-08-12
311,1210,6190450,22900,2021-11-02,2024-02-17
312,3410,6190450,22900,2021-11-05,2024-02-24
313,2970,6190450,22900,2021-11-08,2024-03-17
314,3740,6190450,22900,2021-11-12,2024-02-28
315,3630,6190450,22900,2021-12-04,2024-03-19
316,2090,6190600,24425,2021-11-02,2024-03-01
317,4070,6190600,24425,2021-11-12,2023-12-29
318,1320,6190700,22825,2021-11-11,2024-02-15
319,2200,6190700,22825,2021-12-04,2024-03-22
320,2090,6190750,22825,2021-11-05,2024-03-26
321,1100,6190750,22825,2021-11-15,2024-03-24
322,4400,6190750,22825,2022-01-09,2023-03-06
323,550,6190800,22825,2021-11-01,2023-12-01
324,880,6190800,22825,2021-11-04,2024-01-29
325,4840,6190800,22825,2021-11-05,2024-02-16
326,660,6190800,22825,2021-11-06,2024-01-28
327,2420,6190800,22825,2021-11-09,2023-12-20
328,1760,6190850,22825,2021-11-02,2024-03-07
329,4840,6190850,22825,2021-11-26,2024-02-20
330,1980,6190850,22825,2023-01-12,2023-10-12
331,330,6190900,22825,2021-11-05,2024-03-19
332,1100,6190900,22825,2021-11-20,2024-02-03
333,880,6190900,22825,2021-11-28,2024-03-08
334,2420,6190900,22825,2022-01-04,2024-01-15
335,2970,6190900,22825,2022-01-21,2024-01-23
336,1210,6190900,22825,2022-01-21,2024-03-18
337,1650,6190950,22825,2021-12-13,2024-03-07
338,3410,6190950,22825,2021-12-16,2024-03-14
339,660,6190950,22825,2022-04-02,2024-03-19
340,3520,6190950,22825,2022-11-05,2024-03-12
341,880,6191000,22825,2022-03-17,2024-03-19
342,4070,6191000,22825,2022-09-28,2022-12-06
343,3190,6191050,22850,2021-12-16,2023-12-23
344,550,6191050,22850,2022-04-26,2024-03-06
345,4840,6191100,22950,2021-11-01,2024-03-29
346,3080,6191100,22950,2021-11-11,2024-03-07
347,1320,6191100,22950,2021-11-25,2024-03-14
348,1980,6191150,22950,2021-12-04,2021-12-04
349,4730,6191150,22950,2021-12-10,2021-12-10
350,3740,6191150,22950,2021-12-13,2021-12-13
351,1100,6191150,22950,2022-07-12,2022-07-12
352,3080,6191250,24425,2021-11-06,2022-12-24
353,4730,6191250,24425,2021-12-11,2023-01-27
354,2090,6191250,24425,2022-01-14,2022-12-15
355,2310,6191450,22975,2021-11-07,2024-03-28
356,2420,6191450,22975,2021-11-12,2023-06-23
357,2200,6191450,22975,2021-11-15,2024-01-30
358,1210,6191450,22975,2021-11-18,2023-06-01
359,2200,6191500,22975,2021-11-05,2022-04-18
360,1980,6191500,22975,2021-11-30,2022-04-02
361,660,6191500,22975,2021-12-17,2022-01-12
362,4840,6191500,22975,2021-12-22,2022-04-19
363,3080,6191550,22975,2021-11-02,2022-04-19
364,3740,6191550,22975,2021-11-05,2022-04-20
365,3300,6191550,22975,2021-11-05,2022-04-14
366,2640,6191550,22975,2021-11-07,2022-05-03
367,1760,6191550,22975,2021-11-19,2022-04-23
368,2200,6191550,22975,2021-12-01,2022-04-22
369,2420,6191550,22975,2022-02-07,2022-05-05
370,3410,6191600,24375,2021-11-03,2024-03-25
371,990,6191600,24375,2021-11-08,2023-09-25
372,2860,6191600,24375,2023-04-20,2023-07-21
373,2750,6191700,24425,2021-11-06,2023-03-10
374,4840,6191700,24425,2021-11-16,2023-03-20
375,1650,6191700,24425,2021-11-20,2023-04-10
376,880,6191700,24425,2021-12-23,2021-12-23
377,1210,6191750,24425,2021-11-06,2024-01-25
378,1760,6191750,24425,2021-12-04,2023-12-16
379,2090,6191750,24425,2021-12-19,2023-05-23
380,3410,6191850,24400,2021-11-01,2024-02-27
381,3080,6191850,24400,2021-11-09,2024-03-18
382,1540,6191850,24400,2021-11-11,2024-03-27
383,2090,6191850,24400,2021-11-25,2024-03-17
384,1100,6191850,24400,2021-12-05,2024-01-01
385,1320,6191900,24400,2021-11-08,2024-03-20
386,2420,6191900,24400,2021-11-17,2024-03-14
387,660,6191900,24400,2021-11-27,2024-03-29
388,3190,6191900,24400,2021-12-10,2024-03-20
389,2640,6191900,24400,2021-12-30,2024-03-08
390,1980,6191950,24400,2021-11-29,2023-03-15
391,3080,6191950,24400,2021-12-19,2023-11-06
392,770,6191950,24400,2022-02-02,2023-06-25
393,2530,6192000,24400,2021-11-08,2024-03-31
394,2750,6192000,24400,2021-11-19,2024-03-24
395,4840,6192000,24400,2021-11-21,2024-03-22
396,1210,6192550,22950,2021-11-03,2023-05-16
397,1540,6192550,22950,2021-11-13,2023-03-24
398,660,6192550,22950,2021-11-19,2022-09-11
399,1100,6192550,22950,2022-01-22,2022-05-28
400,2200,6192600,22950,2021-11-02,2023-12-21
401,3630,6192600,22950,2021-11-06,2024-03-20
402,2530,6192600,22950,2021-11-29,2024-02-01
403,880,6192600,22950,2021-12-07,2024-02-22
404,330,6192750,22950,2021-11-05,2022-08-03
405,1210,6192750,22950,2021-11-13,2022-07-04
406,1870,6192750,22950,2021-11-19,2022-06-05
407,3740,6192750,22950,2021-12-02,2022-10-07
408,4070,6192750,22950,2021-12-03,2022-11-02
409,770,6192800,22950,2021-11-21,2024-01-22
410,2200,6192800,22950,2022-01-23,2024-03-02
411,3080,6192900,22950,2021-11-03,2022-07-16
412,3740,6192900,22950,2021-11-06,2022-08-14
413,1650,6192900,22950,2021-11-08,2022-09-28
414,3190,6192900,22950,2021-12-20,2022-10-13
415,4400,6192900,22950,2021-12-28,2022-07-25
416,4730,6192950,22850,2021-11-04,2024-01-19
417,1650,6192950,22850,2021-11-05,2024-02-16
418,1320,6192950,22850,2021-11-06,2024-01-25
419,990,6192950,22850,2021-11-06,2024-01-12
420,770,6192950,22850,2021-11-07,2024-01-18
421,1760,6192950,22850,2021-11-10,2024-02-10
422,3740,6192950,22850,2021-11-19,2024-03-17
423,1100,6192950,22850,2021-12-06,2024-02-18
424,660,6193000,22850,2021-11-02,2022-09-11
425,550,6193000,22850,2021-11-19,2023-01-08
426,2750,6193000,22850,2021-12-07,2022-05-20
427,2090,6193000,22850,2021-12-09,2023-02-03
428,3740,6193000,22850,2021-12-18,2022-06-21
429,1540,6193000,22850,2022-01-12,2022-06-17
430,1650,6193050,22950,2021-11-03,2024-03-22
431,4840,6193050,22950,2021-11-05,2024-02-28
432,660,6193050,22950,2021-11-12,2024-03-03
433,2860,6193200,22900,2023-06-29,2024-01-03
434,1650,6193250,22900,2021-11-02,2022-06-30
435,3410,6193250,22900,2021-11-13,2022-11-25
436,2420,6193250,22900,2021-11-30,2022-07-16
437,330,6193250,22900,2021-12-19,2022-08-28
438,1980,6193300,22950,2021-11-02,2023-11-09
439,1540,6193300,22950,2021-11-04,2024-01-28
440,1760,6193300,22950,2021-11-10,2024-02-02
441,2750,6193300,22950,2021-11-11,2024-02-02
442,4070,6193300,22950,2021-12-21,2024-03-30
443,1650,6193350,24425,2021-12-16,2024-01-06
444,4730,6193400,24425,2021-12-11,2023-01-24
445,3630,6193400,24425,2022-04-21,2023-07-12
446,1320,6193400,24425,2023-07-13,2024-03-20
447,4400,6193400,24425,2023-12-17,2024-02-11
448,550,6193500,24400,2021-11-04,2024-03-21
449,2200,6193500,24400,2021-11-08,2024-02-26
450,3080,6193500,24400,2021-11-18,2024-02-23
451,330,6193600,24400,2021-12-24,2024-02-14
452,3520,6193600,24400,2022-11-11,2024-03-24
453,1650,6193650,24400,2021-11-01,2022-03-19
454,4180,6193650,24400,2021-11-02,2022-03-21
455,1320,6193650,24400,2021-11-08,2022-02-09
456,2750,6193700,24400,2021-11-01,2022-03-30
457,880,6193700,24400,2021-11-01,2022-01-29
458,2970,6193700,24400,2021-11-02,2022-02-02
459,1320,6193700,24400,2021-11-02,2022-02-25
460,1980,6193700,24400,2021-11-07,2022-02-12
461,2640,6193700,24400,2021-11-15,2022-05-18
462,3190,6193700,24400,2021-11-15,2022-05-18
463,1650,6193750,22875,2021-11-01,2024-03-29
464,1210,6193750,22875,2021-11-01,2024-03-25
465,3740,6193750,22875,2021-11-02,2024-03-25
466,3300,6193750,22875,2021-11-02,2024-03-22
467,660,6193750,22875,2021-11-04,2024-03-06
468,550,6193750,22875,2021-11-05,2024-03-31
469,3080,6194100,24425,2021-11-06,2023-12-30
470,1210,6194100,24425,2021-11-08,2024-01-11
471,2750,6194100,24425,2021-11-10,2024-02-14
472,4070,6194100,24425,2022-05-12,2023-10-27
473,2200,6194150,24425,2021-11-26,2023-11-11
474,1100,6194150,24425,2021-12-19,2024-01-26
475,1870,6194150,24425,2022-01-03,2024-03-22
476,2420,6194150,24425,2022-09-24,2023-11-15
477,2860,6194150,24425,2023-04-18,2023-10-30
478,4180,6194200,24425,2021-12-08,2023-05-28
479,2750,6194200,24425,2021-12-12,2023-07-16
480,4840,6194200,24425,2021-12-16,2023-05-20
481,2090,6190500,22900,2021-11-07,2024-02-08
482,990,6190500,22900,2021-11-11,2024-03-09
483,330,6190500,22900,2021-11-11,2024-03-11
484,3740,6190500,22900,2021-11-14,2024-02-28
485,3190,6190500,22900,2021-11-19,2023-12-26
486,770,6190550,24425,2021-11-05,2023-12-30
487,2200,6190550,24425,2021-11-08,2024-01-05
488,2420,6190550,24425,2021-11-25,2024-03-13
489,330,6190550,24425,2022-01-02,2024-03-11
490,3520,6191100,22950,2022-11-03,2024-03-27
491,660,6191250,24425,2022-11-11,2022-11-11
492,2970,6191300,24425,2021-11-03,2024-03-20
493,4180,6191300,24425,2021-11-04,2024-03-30
494,3190,6191300,24425,2021-11-05,2024-03-05
495,2420,6191300,24425,2021-11-05,2023-12-19
496,4070,6191300,24425,2021-11-10,2023-12-24
497,1320,6191300,24425,2021-11-18,2024-03-28
498,2860,6191300,24425,2023-04-20,2024-03-30
499,1210,6191400,22900,2021-11-02,2024-02-06
500,1100,6191400,22900,2021-11-02,2024-03-06
501,3630,6191400,22900,2021-11-04,2024-02-24
502,550,6191400,22900,2021-11-04,2024-03-29
503,4180,6191400,22900,2021-11-05,2024-03-20
504,3410,6192050,24400,2021-11-02,2024-03-27
505,990,6192050,24400,2021-11-07,2023-10-05
506,1980,6192050,24400,2021-11-08,2024-03-06
507,2420,6192100,24400,2021-11-09,2024-01-08
508,1540,6192100,24400,2021-12-01,2024-03-29
509,2750,6192100,24400,2021-12-11,2024-03-07
510,3300,6192150,24400,2021-11-02,2024-03-28
511,3410,6192150,24400,2021-11-12,2024-03-29
512,4180,6192150,24400,2021-11-25,2024-03-27
513,2310,6192150,24400,2021-11-30,2024-03-21
514,2860,6192150,24400,2023-10-02,2024-02-01
515,3080,6192200,24400,2021-11-08,2024-03-29
516,4730,6192200,24400,2021-11-18,2024-01-03
517,2090,6192250,24400,2021-11-04,2023-10-11
518,3300,6192250,24400,2021-11-05,2024-03-28
519,1100,6192250,24400,2021-11-11,2024-02-08
520,1870,6192250,24400,2021-11-22,2024-03-03
521,3520,6192250,24400,2022-11-03,2024-01-12
522,4840,6192300,24400,2021-11-01,2024-03-29
523,2750,6192300,24400,2021-11-02,2024-03-30
524,1650,6192300,24400,2021-11-02,2024-03-22
525,3740,6192300,24400,2021-11-04,2024-03-22
526,3190,6192300,24400,2021-11-09,2024-03-29
527,1210,6192300,24400,2021-11-19,2024-03-27
528,3520,6192300,24400,2022-11-04,2024-03-28
529,2750,6192500,22800,2021-11-01,2024-03-17
530,4730,6192500,22800,2021-11-04,2024-02-02
531,990,6192500,22800,2021-11-08,2024-02-10
532,330,6192650,22950,2021-11-02,2024-01-20
533,660,6192650,22950,2021-11-03,2024-01-13
534,1870,6192650,22950,2021-11-05,2024-01-12
535,1540,6192650,22950,2021-11-06,2024-01-25
536,2310,6192650,22950,2021-11-07,2024-02-11
537,3630,6192650,22950,2021-11-11,2024-02-03
