Store_Number,SKU_Coded,Product_Class_Code,Sold_Date,Qty_Sold,Total_Sale_Value,On_Promo
74,1980,6190200,24425,2021-12-20,11,20.900000,0
75,1980,6190200,24425,2021-12-22,12,22.799999,0
76,1980,6190250,24425,2021-11-17,9,70.410004,0
77,1980,6190250,24425,2021-12-05,10,79.900002,0
78,1980,6190250,24425,2021-12-17,16,30.400000,0
79,1980,6192300,24400,2024-03-21,6,23.940001,0
80,1980,6192600,22950,2023-12-02,6,17.940001,0
81,1980,6192700,22950,2022-04-14,10,30.000000,1
82,1980,6192700,22950,2022-04-15,7,21.000000,0
83,1980,6192700,22950,2022-08-19,42,37.799999,0
84,1980,6193100,24400,2021-12-24,6,89.940002,0
85,1980,6194700,24425,2022-01-29,7,0.630000,0
86,1980,6195200,22975,2023-02-21,10,129.899994,0
87,1980,6195800,22850,2021-11-25,89,434.109985,1
88,1980,6195800,22850,2021-12-13,13,116.870003,1
89,1980,6195800,22850,2022-11-24,108,864.000000,1
90,1980,6196600,24425,2021-12-24,6,131.080002,0
91,1980,6197250,24425,2021-12-23,7,69.930000,0
92,1980,6197250,24425,2021-12-24,6,59.939999,0
93,1980,6198100,22800,2022-10-20,6,119.940002,1
94,1980,6199250,22900,2022-12-17,7,244.929993,1
95,1980,6199250,22900,2023-12-22,6,221.940002,0
96,1980,6199300,22900,2023-03-14,8,399.920013,0
97,1980,6199500,24425,2023-06-10,7,13.300000,0
98,1980,6199500,24425,2023-07-01,7,13.300000,0
99,1980,6199500,24425,2023-12-08,6,107.940002,0
100,1980,6199550,24425,2022-12-04,6,133.259995,0
101,1980,6199600,24425,2022-11-25,14,209.860001,0
102,1980,6199650,24425,2022-11-12,7,139.929993,0
103,1980,6199650,24425,2022-11-19,6,59.939999,1
104,1980,6199650,24425,2023-11-23,6,101.940002,0
105,1980,6199650,24425,2023-11-29,12,203.880005,0
106,1980,6200500,22850,2022-12-30,6,39.000000,0
107,1980,6200650,22850,2022-10-14,7,69.930000,0
108,1980,6200650,22850,2023-03-03,10,97.410004,0
109,1980,6200650,22850,2023-03-04,9,89.910004,0
110,1980,6200650,22850,2023-04-12,7,64.949997,0
111,1980,6200650,22850,2023-04-14,6,59.939999,0
112,1980,6200650,22850,2023-04-27,7,67.440002,0
113,1980,6200650,22850,2023-04-30,6,59.939999,0
114,1980,6200650,22850,2023-06-07,6,59.939999,0
115,1980,6200700,22850,2022-08-18,6,57.450001,0
116,1980,6200700,22850,2022-08-28,6,59.939999,0
117,1980,6200700,22850,2022-10-14,8,79.919998,0
118,1980,6200700,22850,2022-12-02,6,59.939999,0
119,1980,6200700,22850,2022-12-09,9,89.910004,0
120,1980,6200700,22850,2022-12-22,7,69.930000,0
121,1980,6200700,22850,2022-12-23,13,129.869995,0
122,1980,6200700,22850,2023-01-20,6,59.939999,0
123,1980,6200700,22850,2023-03-05,16,159.339996,0
124,1980,6200700,22850,2023-03-14,9,89.910004,0
125,1980,6200700,22850,2023-03-17,7,69.930000,0
126,1980,6200700,22850,2023-03-21,6,59.939999,0
127,1980,6200700,22850,2023-03-24,13,127.379997,0
128,1980,6200700,22850,2023-03-25,8,79.919998,0
129,1980,6200700,22850,2023-03-26,6,59.939999,0
130,1980,6200700,22850,2023-03-27,6,59.939999,0
131,1980,6200700,22850,2023-03-31,8,79.919998,0
132,1980,6200700,22850,2023-04-04,7,69.930000,0
133,1980,6200700,22850,2023-04-14,10,99.900002,0
134,1980,6200700,22850,2023-04-20,6,59.939999,0
135,1980,6200700,22850,2023-04-21,8,77.430000,0
136,1980,6200700,22850,2023-04-22,8,79.919998,0
137,1980,6200700,22850,2023-04-25,7,69.930000,0
138,1980,6200700,22850,2023-04-26,10,97.410004,0
139,1980,6200700,22850,2023-04-28,7,69.930000,0
140,1980,6200700,22850,2023-04-29,11,76.889999,1
141,1980,6200700,22850,2023-04-30,12,83.879997,1
142,1980,6200700,22850,2023-05-01,14,91.860001,1
143,1980,6200700,22850,2023-05-02,7,69.930000,0
144,1980,6200700,22850,2023-05-04,8,79.919998,0
145,1980,6200700,22850,2023-05-05,12,119.879997,0
146,1980,6200700,22850,2023-05-07,7,69.930000,0
147,1980,6200700,22850,2023-05-08,7,69.930000,0
148,1980,6200700,22850,2023-05-09,12,119.879997,0
149,1980,6200700,22850,2023-05-11,6,59.939999,0
150,1980,6200700,22850,2023-05-13,12,119.879997,0
151,1980,6200700,22850,2023-05-14,16,159.839996,0
152,1980,6200700,22850,2023-05-16,10,99.900002,0
153,1980,6200700,22850,2023-05-17,7,69.930000,0
154,1980,6200700,22850,2023-05-18,18,179.820007,0
155,1980,6200700,22850,2023-05-19,10,99.900002,0
156,1980,6200700,22850,2023-05-20,19,189.809998,0
157,1980,6200700,22850,2023-05-26,12,119.879997,0
158,1980,6200700,22850,2023-05-27,8,79.919998,0
159,1980,6200700,22850,2023-05-28,6,59.939999,0
160,1980,6200700,22850,2023-06-01,7,69.930000,0
161,1980,6200700,22850,2023-06-02,11,107.400002,0
162,1980,6200700,22850,2023-06-09,20,199.800003,0
163,1980,6200700,22850,2023-06-10,7,69.930000,0
164,1980,6200700,22850,2023-06-13,11,109.889999,0
165,1980,6200700,22850,2023-06-16,14,139.860001,0
166,1980,6200700,22850,2023-06-21,7,69.930000,0
167,1980,6200700,22850,2023-06-23,12,119.879997,0
168,1980,6200700,22850,2023-06-24,9,89.910004,0
169,1980,6200700,22850,2023-06-25,7,69.930000,0
170,1980,6200700,22850,2023-06-29,9,89.910004,0
171,1980,6200700,22850,2023-06-30,8,79.919998,0
172,1980,6200700,22850,2023-07-01,6,59.939999,0
173,1980,6200700,22850,2023-07-04,6,59.939999,0
174,1980,6200700,22850,2023-07-06,10,94.919998,0
175,1980,6200700,22850,2023-07-07,6,59.939999,0
176,1980,6200700,22850,2023-07-10,7,69.930000,0
177,1980,6200700,22850,2023-07-11,6,59.939999,0
178,1980,6200700,22850,2023-07-13,8,79.919998,0
179,1980,6200700,22850,2023-07-14,15,149.850006,0
180,1980,6200700,22850,2023-07-15,8,79.919998,0
181,1980,6200700,22850,2023-07-21,11,109.889999,0
182,1980,6200700,22850,2023-07-28,10,99.900002,0
183,1980,6200700,22850,2023-08-04,9,87.419998,0
184,1980,6200700,22850,2023-08-05,7,59.430000,1
185,1980,6200700,22850,2023-08-11,9,89.910004,0
186,1980,6200700,22850,2023-08-17,9,84.930000,0
187,1980,6200700,22850,2023-08-18,13,129.869995,0
188,1980,6200700,22850,2023-08-19,7,69.930000,0
189,1980,6200700,22850,2023-08-25,10,99.900002,0
190,1980,6200700,22850,2023-09-03,10,99.900002,0
191,1980,6200700,22850,2023-09-26,6,57.450001,0
192,1980,6200700,22850,2023-09-28,6,59.939999,0
193,1980,6200700,22850,2023-09-29,9,89.910004,0
194,1980,6200700,22850,2023-09-30,6,59.939999,0
195,1980,6200700,22850,2023-10-06,9,89.910004,0
196,1980,6200700,22850,2023-10-07,8,79.919998,0
197,1980,6200700,22850,2023-10-11,6,59.939999,0
198,1980,6200700,22850,2023-10-12,15,100.349998,1
199,1980,6200700,22850,2023-10-13,15,100.349998,1
200,1980,6200700,22850,2023-10-14,8,53.520000,1
201,1980,6200700,22850,2023-10-15,9,60.209999,1
202,1980,6200700,22850,2023-10-28,6,59.939999,0
203,1980,6200700,22850,2023-11-23,19,189.809998,0
204,1980,6200700,22850,2023-11-24,12,119.879997,0
205,1980,6200700,22850,2023-11-25,6,59.939999,0
206,1980,6200700,22850,2023-12-01,7,69.930000,0
207,1980,6200700,22850,2023-12-02,7,69.930000,0
208,1980,6200700,22850,2023-12-07,6,59.939999,0
209,1980,6200700,22850,2023-12-09,8,79.919998,0
210,1980,6200700,22850,2023-12-14,13,129.869995,0
211,1980,6200700,22850,2023-12-15,8,79.919998,0
212,1980,6200700,22850,2023-12-19,7,69.930000,0
213,1980,6200700,22850,2023-12-21,6,59.939999,0
214,1980,6200700,22850,2024-01-26,7,69.930000,0
215,1980,6200700,22850,2024-03-09,6,59.939999,0
216,1980,6200700,22850,2024-03-28,6,59.939999,0
217,1980,6200700,22850,2024-03-31,6,59.939999,0
218,1980,6200800,22925,2022-09-02,7,17.430000,0
219,1980,6200800,22925,2022-09-05,6,14.940000,0
220,1980,6200800,22925,2022-09-09,6,14.940000,0
221,1980,6200800,22925,2022-09-19,8,19.920000,0
222,1980,6200800,22925,2022-12-14,8,19.920000,0
223,1980,6200800,22925,2023-06-16,9,22.410000,0
224,1980,6200800,22925,2023-06-17,10,24.900000,0
225,1980,6200800,22925,2023-06-18,12,29.879999,0
226,1980,6200800,22925,2023-07-18,6,14.940000,0
227,1980,6201100,24425,2023-11-09,12,119.879997,0
228,1980,6201750,22850,2022-12-19,8,7.920000,0
229,1980,6201750,22850,2022-12-21,9,8.910000,0
230,1980,6201750,22850,2022-12-22,7,6.930000,0
231,1980,6201750,22850,2023-01-15,8,7.920000,0
232,1980,6201750,22850,2023-04-29,7,6.930000,0
233,1980,6201750,22850,2023-05-15,6,5.940000,0
234,1980,6201750,22850,2023-06-19,6,5.940000,0
235,1980,6201750,22850,2023-08-03,10,9.900000,0
236,1980,6201750,22850,2023-10-14,11,10.890000,0
237,1980,6201750,22850,2024-02-23,6,5.940000,0
238,1980,6201800,22850,2022-12-17,6,4.980000,0
239,1980,6201800,22850,2023-04-28,8,10.320000,0
240,1980,6201800,22850,2023-08-07,8,10.320000,0
241,1980,6201800,22850,2023-12-24,7,9.030000,0
242,1980,6201850,22850,2022-11-29,6,14.940000,0
243,1980,6201850,22850,2023-07-12,8,19.920000,0
244,1980,6201850,22850,2024-03-22,7,17.430000,0
245,1980,6201950,22850,2023-11-23,53,901.000000,1
246,1980,6204300,22925,2023-09-01,7,31.430000,0
247,1980,6204300,22925,2023-11-02,7,31.430000,0
248,1980,6204350,22875,2023-07-27,6,179.940002,0
249,1980,6205250,22850,2023-12-16,6,5.940000,0
250,1980,6205250,22850,2023-12-20,12,11.880000,0
251,1980,6205250,22850,2024-01-12,7,6.930000,0
252,1980,6205250,22850,2024-01-24,8,7.920000,0
253,1980,6205250,22850,2024-01-31,6,5.940000,0
254,1980,6205250,22850,2024-03-14,6,5.940000,0
255,1980,6205250,22850,2024-03-15,7,6.930000,0
